,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,黄金手续费率
0,16366.58595,13418.95442,16264.95754,15868.0194,16366.74318,13177.1215,14654.79093,16978.85199,12865.47447,13929.5001,
0.01,13964.80971,11820.62912,13720.65407,12794.39779,13900.1546,15785.1983,14302.79301,13891.81064,13815.81985,16584.57324,
0.02,10560.73566,14179.46184,13143.54811,13896.8268,12925.59725,17122.95615,13179.68245,12615.6279,12850.57181,11987.09922,
0.03,14932.48769,12577.76826,13983.76704,11040.54667,10951.44625,10286.97017,10714.13522,11670.09026,11520.77287,13166.08429,
0.04,13675.66983,12123.20251,10268.11394,11790.88916,12337.93147,10851.34581,9693.003234,9991.334974,12686.53546,11242.57745,
0.05,11151.04463,14283.98071,12628.92644,10936.43928,11639.63658,10386.95479,10403.94398,12749.89834,9447.624939,10782.8394,
0.06,8460.491961,11605.12517,9764.281912,11264.73307,8981.36737,9900.828504,9139.092239,10288.58063,10269.92198,9747.265551,
0.07,9453.96129,12120.62388,8422.080038,9482.265778,8667.27212,9483.518003,10205.93122,11664.11793,8526.647616,9984.579624,
0.08,8498.234785,10644.47344,10647.13657,8227.39173,7281.526942,11641.17092,7808.837341,8506.602782,10699.50467,8966.968158,
0.09,9358.668283,7441.680826,8801.134757,7306.930932,8115.913247,8850.075449,8593.83122,7338.58689,9110.080841,8020.384605,
比特币手续费率,,,,,,,,,,,
